table_values : 		<API.TableValues object at 0x11f924a58>
sigma_w_c_d : 		0.0
sigma_w_t_d : 		0.0
tao_d : 		0.378628797984128
tao_F_d : 		0.0
tao_M_d : 		0.0
tao_tor_d : 		2.904973551548132
theta : 		0.0
psi_0 : 		0.0
psi_2 : 		0.0
w : 		0.0
x : 		0.0
xi : 		0.0
id : 		72438948-797f-4b89-8cbe-e7995c34aee4
name : 		NUMMER 2
tvärsnitt : 		rectangular
material : 		C24
type : 		solid timber
roof_beam_type : 		0.0
service_class : 		S2
load_duration_class : 		medium
enhetstyp : 		beam
contact_points : 		[]
cover_contact_points : 		[]
timber_type : 		Dressed Lumber
cross_section : 		95x145
start_point : 		[0, 0, 0]
end_point : 		[5, 0, 0]
start_connectivity : 		{'e_x': False, 'e_y': False, 'e_z': False, 'phi_x': False, 'phi_y': True, 'phi_z': True}
end_connectivity : 		{'e_x': False, 'e_y': False, 'e_z': False, 'phi_x': False, 'phi_y': True, 'phi_z': True}
buckling_type : 		placeholder
start_buckling_length : 		('co_x', 'co_y', 'co_z')
end_buckling_length : 		('co_x', 'co_y', 'co_z')
start_analytical_eccentricity : 		(0, 0, 0)
end_analytical_eccentricity : 		(0, 0, 0)
use_default_physical_alignment : 		False
start_physical_eccentricity : 		(0, 0, 0)
end_physical_eccentricity : 		(0, 0, 0)
M_y : 		1000
M_z : 		1000
T : 		1000
results : 		result(bending=(0.43311946168905785, 0.40872336640022383), shear=0.24610871868968323, torsion=1.5364635272642158, flexural_buckling=(0, 0), lateral_torsional_buckling=0.20201755606376365)
section : 		[95, 145]
section_vertices : 		[[0, 0], [0, 145], [95, 145], [95, 0]]
I_y : 		10359947.916666666
koordinater : 		[[0 0 0]
 [5 0 0]]
f_v_k : 		2.5
l_c : 		5.0
W_z : 		332895.8333333334
